type,x,y
curve,-1.83697e-16,-2
curve,-0.0117809,-1.99997
curve,-0.023561,-1.99988
curve,-0.0353396,-1.99972
curve,-0.0471161,-1.99951
curve,-0.0588897,-1.99923
curve,-0.0706597,-1.99889
curve,-0.0824253,-1.99849
curve,-0.0941858,-1.99803
curve,-0.10594,-1.9975
curve,-0.117689,-1.99692
curve,-0.12943,-1.99627
curve,-0.141162,-1.99556
curve,-0.152887,-1.99479
curve,-0.164601,-1.99396
curve,-0.176306,-1.99307
curve,-0.188,-1.99211
curve,-0.199682,-1.9911
curve,-0.211352,-1.99002
curve,-0.223009,-1.98889
curve,-0.234652,-1.98769
curve,-0.24628,-1.98643
curve,-0.257894,-1.98511
curve,-0.269491,-1.98373
curve,-0.281072,-1.98229
curve,-0.292635,-1.98079
curve,-0.304181,-1.97922
curve,-0.315708,-1.9776
curve,-0.327215,-1.97592
curve,-0.338702,-1.97417
curve,-0.350168,-1.97237
curve,-0.361613,-1.97051
curve,-0.373035,-1.96858
curve,-0.384434,-1.9666
curve,-0.39581,-1.96456
curve,-0.407161,-1.96246
curve,-0.418487,-1.96029
curve,-0.429787,-1.95807
curve,-0.44106,-1.95579
curve,-0.452307,-1.95345
curve,-0.463525,-1.95106
curve,-0.474715,-1.9486
curve,-0.485876,-1.94609
curve,-0.497007,-1.94351
curve,-0.508107,-1.94088
curve,-0.519176,-1.93819
curve,-0.530212,-1.93544
curve,-0.541216,-1.93264
curve,-0.552187,-1.92978
curve,-0.563123,-1.92686
curve,-0.574025,-1.92388
curve,-0.584892,-1.92085
curve,-0.595722,-1.91775
curve,-0.606515,-1.91461
curve,-0.617272,-1.9114
curve,-0.62799,-1.90814
curve,-0.638669,-1.90483
curve,-0.649309,-1.90146
curve,-0.659909,-1.89803
curve,-0.670468,-1.89454
curve,-0.680986,-1.89101
curve,-0.691462,-1.88741
curve,-0.701895,-1.88377
curve,-0.712285,-1.88006
curve,-0.722631,-1.87631
curve,-0.732932,-1.8725
curve,-0.743188,-1.86863
curve,-0.753398,-1.86471
curve,-0.763562,-1.86074
curve,-0.773679,-1.85672
curve,-0.783748,-1.85264
curve,-0.793769,-1.84851
curve,-0.80374,-1.84433
curve,-0.813662,-1.84009
curve,-0.823534,-1.83581
curve,-0.833355,-1.83147
curve,-0.843125,-1.82708
curve,-0.852843,-1.82264
curve,-0.862508,-1.81815
curve,-0.87212,-1.81361
curve,-0.881678,-1.80902
curve,-0.891182,-1.80438
curve,-0.90063,-1.79968
curve,-0.910024,-1.79494
curve,-0.919361,-1.79016
curve,-0.928641,-1.78532
curve,-0.937864,-1.78043
curve,-0.947029,-1.7755
