type,x,y
symmetry,0.5,-5.27356e-16
symmetry,0.5,-2.78944e-15
symmetry,0.5,-1.38778e-16
symmetry,0.5,-7.97973e-16
symmetry,0.5,1.57513e-15
symmetry,0.5,-1.2837e-15
symmetry,0.5,-4.85723e-17
symmetry,0.5,-1.38778e-15
symmetry,0.5,5.41234e-16
symmetry,0.5,-1.26288e-15
symmetry,0.5,-3.60822e-16
symmetry,0.5,-9.02056e-16
symmetry,0.5,1.80411e-16
symmetry,0.5,-1.44329e-15
symmetry,0.5,3.95517e-16
symmetry,0.5,-7.56339e-16
symmetry,0.5,-3.81639e-16
symmetry,0.5,-9.99201e-16
symmetry,0.5,1.249e-16
symmetry,0.5,-1.3739e-15
symmetry,0.5,-1.04083e-16
symmetry,0.5,-6.245e-16
symmetry,0.5,-1.66533e-16
symmetry,0.5,-2.63678e-16
symmetry,0.5,-7.49401e-16
symmetry,0.5,-2.08167e-16
symmetry,0.5,-2.63678e-16
symmetry,0.5,-5.20417e-16
symmetry,0.5,-4.09395e-16
symmetry,0.5,-7.56339e-16
symmetry,0.5,-2.63678e-16
symmetry,0.5,-8.04912e-16
symmetry,0.5,-2.08167e-16
symmetry,0.5,-5.27356e-16
symmetry,0.5,-2.91434e-16
symmetry,0.5,-5.41234e-16
symmetry,0.5,1.80411e-16
symmetry,0.5,-8.32667e-16
symmetry,0.5,-4.51028e-16
symmetry,0.5,-6.03684e-16
symmetry,0.5,4.16334e-17
symmetry,0.5,-5.68989e-16
symmetry,0.5,-2.35922e-16
symmetry,0.5,-1.02002e-15
symmetry,0.5,-3.95517e-16
symmetry,0.5,-7.49401e-16
symmetry,0.5,-1.31839e-16
symmetry,0.5,-9.64506e-16
symmetry,0.5,-4.85723e-17
symmetry,0.5,-7.97973e-16
symmetry,0.5,-2.22045e-16
symmetry,0.5,-8.60423e-16
symmetry,0.5,1.52656e-16
symmetry,0.5,-5.75928e-16
symmetry,0.5,-2.91434e-16
symmetry,0.5,-6.80012e-16
symmetry,0.5,-4.64906e-16
symmetry,0.5,-5.82867e-16
symmetry,0.5,-9.02056e-17
symmetry,0.5,-5.48173e-16
symmetry,0.5,-1.66533e-16
symmetry,0.5,-5.6205e-16
symmetry,0.5,-6.03684e-16
symmetry,0.5,-1.94289e-16
symmetry,0.5,-5.27356e-16
symmetry,0.5,-1.31839e-16
symmetry,0.5,-7.56339e-16
symmetry,0.5,-3.81639e-16
symmetry,0.5,-5.20417e-16
symmetry,0.5,-3.40006e-16
symmetry,0.5,-4.57967e-16
symmetry,0.5,-2.84495e-16
symmetry,0.5,-5.82867e-16
symmetry,0.5,-2.498e-16
symmetry,0.5,-4.85723e-16
symmetry,0.5,-1.45717e-16
symmetry,0.5,-5.41234e-16
symmetry,0.5,-3.88578e-16
symmetry,0.5,-4.44089e-16
symmetry,0.5,-4.30211e-16
symmetry,0.5,-5.20417e-16
symmetry,0.5,-2.98372e-16
symmetry,0.5,-4.3715e-16
symmetry,0.5,-3.1225e-16
symmetry,0.5,-6.17562e-16
symmetry,0.5,-2.22045e-16
symmetry,0.5,-4.78784e-16
symmetry,0.5,-3.88578e-16
symmetry,0.5,-4.64906e-16
symmetry,0.5,-2.63678e-16
symmetry,0.5,-5.41234e-16
symmetry,0.5,-2.63678e-16
symmetry,0.5,-4.44089e-16
symmetry,0.5,-2.35922e-16
symmetry,0.5,-4.64906e-16
symmetry,0.5,-3.60822e-16
symmetry,0.5,-5.6205e-16
symmetry,0.5,-2.70617e-16
symmetry,0.5,-5.20417e-16
symmetry,0.5,-3.19189e-16
symmetry,0.5,-4.30211e-16
symmetry,0.5,-3.33067e-16
symmetry,0.5,-4.78784e-16
symmetry,0.5,-3.26128e-16
symmetry,0.5,-5.06539e-16
symmetry,0.5,-3.67761e-16
symmetry,0.5,-4.64906e-16
symmetry,0.5,-2.91434e-16
symmetry,0.5,-4.3715e-16
symmetry,0.5,-3.46945e-16
symmetry,0.5,-4.23273e-16
symmetry,0.5,-2.70617e-16
symmetry,0.5,-5.06539e-16
symmetry,0.5,-3.05311e-16
symmetry,0.5,-4.57967e-16
symmetry,0.5,-3.95517e-16
symmetry,0.5,-4.44089e-16
symmetry,0.5,-3.19189e-16
symmetry,0.5,-4.09395e-16
symmetry,0.5,-3.88578e-16
symmetry,0.5,-4.09395e-16
symmetry,0.5,-3.81639e-16
symmetry,0.5,-4.92661e-16
symmetry,0.5,-4.02456e-16
symmetry,0.5,-4.30211e-16
symmetry,0.5,-2.77556e-16
symmetry,0.5,-4.64906e-16
symmetry,0.5,-1.31839e-16
symmetry,0.5,-4.02456e-16
symmetry,0.5,-3.60822e-16
symmetry,0.5,-4.09395e-16
symmetry,0.5,-2.28983e-16
symmetry,0.5,-5.20417e-16
symmetry,0.5,-3.26128e-16
symmetry,0.5,-4.02456e-16
symmetry,0.5,-3.1225e-16
symmetry,0.5,-6.80012e-16
symmetry,0.5,-1.249e-16
symmetry,0.5,-4.64906e-16
symmetry,0.5,-3.33067e-16
symmetry,0.5,-4.02456e-16
symmetry,0.5,-3.26128e-16
symmetry,0.5,-4.57967e-16
symmetry,0.5,-2.35922e-16
symmetry,0.5,-5.48173e-16
symmetry,0.5,-2.498e-16
symmetry,0.5,-4.02456e-16
symmetry,0.5,-3.60822e-16
symmetry,0.5,-5.75928e-16
symmetry,0.5,-2.98372e-16
symmetry,0.5,-4.44089e-16
symmetry,0.5,-3.67761e-16
symmetry,0.5,-4.30211e-16
symmetry,0.5,-3.747e-16
symmetry,0.5,-5.13478e-16
symmetry,0.5,-2.498e-16
symmetry,0.5,-4.57967e-16
symmetry,0.5,-3.81639e-16
symmetry,0.5,-4.64906e-16
symmetry,0.5,-2.84495e-16
symmetry,0.5,-4.71845e-16
symmetry,0.5,-3.33067e-16
symmetry,0.5,-3.95517e-16
symmetry,0.5,-3.747e-16
symmetry,0.5,-4.23273e-16
symmetry,0.5,-3.67761e-16
symmetry,0.5,-4.16334e-16
symmetry,0.5,-3.1225e-16
symmetry,0.5,-5.34295e-16
symmetry,0.5,-2.91434e-16
symmetry,0.5,-3.95517e-16
symmetry,0.5,-2.28983e-16
symmetry,0.5,-4.30211e-16
symmetry,0.5,-3.33067e-16
symmetry,0.5,-4.44089e-16
symmetry,0.5,-3.40006e-16
symmetry,0.5,-3.95517e-16
symmetry,0.5,-2.84495e-16
symmetry,0.5,-4.16334e-16
symmetry,0.5,-3.40006e-16
symmetry,0.5,-3.95517e-16
symmetry,0.5,-3.747e-16
symmetry,0.5,-4.23273e-16
symmetry,0.5,-2.91434e-16
symmetry,0.5,-3.81639e-16
symmetry,0.5,-3.26128e-16
symmetry,0.5,-3.747e-16
symmetry,0.5,-3.05311e-16
symmetry,0.5,-3.747e-16
symmetry,0.5,-3.1225e-16
symmetry,0.5,-4.57967e-16
symmetry,0.5,-3.19189e-16
symmetry,0.5,-4.30211e-16
symmetry,0.5,-2.70617e-16
symmetry,0.5,-3.95517e-16
symmetry,0.5,-3.67761e-16
symmetry,0.5,-3.747e-16
symmetry,0.5,-3.40006e-16
symmetry,0.5,-3.88578e-16
symmetry,0.5,-3.53884e-16
symmetry,0.5,-3.81639e-16
symmetry,0.5,-3.40006e-16
symmetry,0.5,-3.60822e-16
symmetry,0.5,-3.40006e-16
symmetry,0.5,-3.747e-16
symmetry,0.5,-3.46945e-16
symmetry,0.5,-3.67761e-16
symmetry,0.5,-3.46945e-16
symmetry,0.5,-3.67761e-16
symmetry,0.5,-3.46945e-16
symmetry,0.5,-3.88578e-16
symmetry,0.5,-3.40006e-16
symmetry,0.5,-3.747e-16
symmetry,0.5,-3.33067e-16
symmetry,0.5,-3.46945e-16
symmetry,0.5,-3.53884e-16
symmetry,0.5,-3.67761e-16
symmetry,0.5,-3.60822e-16
symmetry,0.5,-3.46945e-16
symmetry,0.499999,2.00451e-07
symmetry,1.09014,-0.121898
symmetry,-1.00515,0.310897
symmetry,-1.39564,0.391556
symmetry,-1.22001,0.355279
symmetry,1.28784,-0.162734
symmetry,0.5,1.7833e-15
symmetry,0.5,-2.09555e-15
symmetry,0.5,6.66134e-16
symmetry,0.5,-6.93889e-18
symmetry,0.5,2.44943e-15
symmetry,0.5,-5.34295e-16
symmetry,0.5,7.56339e-16
symmetry,0.5,-6.38378e-16
symmetry,0.5,1.35308e-15
symmetry,0.5,-5.27356e-16
symmetry,0.5,3.95517e-16
symmetry,0.5,-1.66533e-16
symmetry,0.5,9.57567e-16
symmetry,0.5,-7.35523e-16
symmetry,0.5,1.18655e-15
symmetry,0.5,-1.38778e-17
symmetry,0.5,3.67761e-16
symmetry,0.5,3.19189e-16
symmetry,0.5,8.88178e-16
symmetry,0.5,-6.66134e-16
symmetry,0.5,6.52256e-16
symmetry,0.5,9.71445e-17
symmetry,0.5,5.75928e-16
symmetry,0.5,2.08167e-16
symmetry,0.5,4.71845e-16
symmetry,0.5,-4.16334e-17
symmetry,0.5,5.27356e-16
symmetry,0.5,2.08167e-16
symmetry,0.5,4.57967e-16
symmetry,0.5,1.80411e-16
symmetry,0.5,4.44089e-16
symmetry,0.5,-1.17961e-16
symmetry,0.5,5.06539e-16
symmetry,0.5,1.66533e-16
symmetry,0.5,4.02456e-16
symmetry,0.5,2.77556e-16
symmetry,0.5,8.95117e-16
symmetry,0.5,-1.45717e-16
symmetry,0.5,7.49401e-16
symmetry,0.5,1.04083e-16
symmetry,0.5,4.51028e-16
symmetry,0.5,-3.60822e-16
symmetry,0.5,5.6205e-16
symmetry,0.5,-3.1225e-16
symmetry,0.5,6.52256e-16
symmetry,0.5,2.22045e-16
symmetry,0.5,5.20417e-16
symmetry,0.5,-1.31839e-16
symmetry,0.5,4.57967e-16
symmetry,0.5,-2.08167e-16
symmetry,0.5,8.53484e-16
symmetry,0.5,2.84495e-16
symmetry,0.5,3.747e-16
symmetry,0.5,-2.08167e-17
symmetry,0.5,3.46945e-16
symmetry,0.5,2.63678e-16
symmetry,0.5,3.46945e-16
symmetry,0.5,2.42861e-16
symmetry,0.5,5.82867e-16
symmetry,0.5,2.91434e-16
symmetry,0.5,4.996e-16
symmetry,0.5,9.02056e-17
symmetry,0.5,4.78784e-16
symmetry,0.5,1.17961e-16
symmetry,0.5,5.34295e-16
symmetry,0.5,-1.11022e-16
symmetry,0.5,3.40006e-16
symmetry,0.5,1.31839e-16
symmetry,0.5,3.1225e-16
symmetry,0.5,2.498e-16
symmetry,0.5,2.91434e-16
symmetry,0.5,2.70617e-16
symmetry,0.5,2.84495e-16
symmetry,0.5,1.80411e-16
symmetry,0.5,3.67761e-16
symmetry,0.5,6.245e-17
symmetry,0.5,4.09395e-16
symmetry,0.5,1.59595e-16
symmetry,0.5,5.06539e-16
symmetry,0.5,2.08167e-16
symmetry,0.5,3.60822e-16
symmetry,0.5,2.01228e-16
symmetry,0.5,3.40006e-16
symmetry,0.5,6.93889e-18
symmetry,0.5,4.16334e-16
symmetry,0.5,1.52656e-16
symmetry,0.5,3.19189e-16
symmetry,0.5,2.42861e-16
symmetry,0.5,3.747e-16
symmetry,0.5,9.02056e-17
symmetry,0.5,3.747e-16
symmetry,0.5,1.80411e-16
symmetry,0.5,3.95517e-16
symmetry,0.5,1.52656e-16
symmetry,0.5,2.70617e-16
symmetry,0.5,6.245e-17
symmetry,0.5,3.60822e-16
symmetry,0.5,1.04083e-16
symmetry,0.5,3.1225e-16
symmetry,0.5,1.94289e-16
symmetry,0.5,3.05311e-16
symmetry,0.5,1.52656e-16
symmetry,0.5,3.05311e-16
symmetry,0.5,1.11022e-16
symmetry,0.5,2.77556e-16
symmetry,0.5,1.45717e-16
symmetry,0.5,3.26128e-16
symmetry,0.5,1.94289e-16
symmetry,0.5,2.77556e-16
symmetry,0.5,2.22045e-16
symmetry,0.5,3.46945e-16
symmetry,0.5,1.17961e-16
symmetry,0.5,3.19189e-16
symmetry,0.5,1.66533e-16
symmetry,0.5,3.05311e-16
symmetry,0.5,2.08167e-16
symmetry,0.5,3.81639e-16
symmetry,0.5,1.17961e-16
symmetry,0.5,3.33067e-16
symmetry,0.5,1.73472e-16
symmetry,0.5,3.53884e-16
symmetry,0.5,1.52656e-16
symmetry,0.5,4.92661e-16
symmetry,0.5,2.01228e-16
symmetry,0.5,2.56739e-16
symmetry,0.5,1.94289e-16
symmetry,0.5,3.81639e-16
symmetry,0.5,8.32667e-17
symmetry,0.5,2.84495e-16
symmetry,0.5,2.15106e-16
symmetry,0.5,3.05311e-16
symmetry,0.5,-8.32667e-17
symmetry,0.5,4.996e-16
symmetry,0.5,2.35922e-16
symmetry,0.5,2.77556e-16
symmetry,0.5,2.15106e-16
symmetry,0.5,2.84495e-16
symmetry,0.5,1.45717e-16
symmetry,0.5,3.747e-16
symmetry,0.5,4.85723e-17
symmetry,0.5,3.60822e-16
symmetry,0.5,1.94289e-16
symmetry,0.5,3.19189e-16
symmetry,0.5,1.59595e-16
symmetry,0.5,2.35922e-16
symmetry,0.5,1.66533e-16
symmetry,0.5,2.84495e-16
symmetry,0.5,9.71445e-17
symmetry,0.5,3.53884e-16
symmetry,0.5,1.45717e-16
symmetry,0.5,3.40006e-16
symmetry,0.5,1.31839e-16
symmetry,0.5,3.19189e-16
symmetry,0.5,1.249e-16
symmetry,0.5,2.70617e-16
symmetry,0.5,2.08167e-16
symmetry,0.5,2.35922e-16
symmetry,0.5,2.35922e-16
symmetry,0.5,2.77556e-16
symmetry,0.5,6.245e-17
symmetry,0.5,3.1225e-16
symmetry,0.5,2.01228e-16
symmetry,0.5,3.67761e-16
symmetry,0.5,2.35922e-16
symmetry,0.5,2.70617e-16
symmetry,0.5,1.45717e-16
symmetry,0.5,2.56739e-16
symmetry,0.5,2.01228e-16
symmetry,0.5,3.19189e-16
symmetry,0.5,1.66533e-16
symmetry,0.5,2.63678e-16
symmetry,0.5,1.94289e-16
symmetry,0.5,3.05311e-16
symmetry,0.5,2.08167e-16
symmetry,0.5,2.70617e-16
symmetry,0.5,2.08167e-16
symmetry,0.5,2.84495e-16
symmetry,0.5,2.08167e-16
symmetry,0.5,2.77556e-16
symmetry,0.5,1.31839e-16
symmetry,0.5,2.70617e-16
symmetry,0.5,1.66533e-16
symmetry,0.5,3.26128e-16
symmetry,0.5,1.94289e-16
symmetry,0.5,2.70617e-16
symmetry,0.5,2.22045e-16
symmetry,0.5,2.35922e-16
symmetry,0.5,2.08167e-16
symmetry,0.5,2.498e-16
symmetry,0.5,2.22045e-16
symmetry,0.5,2.56739e-16
symmetry,0.5,2.01228e-16
symmetry,0.5,2.35922e-16
symmetry,0.5,2.28983e-16
symmetry,0.5,2.28983e-16
symmetry,0.5,2.28983e-16
symmetry,0.5,2.35922e-16
symmetry,0.5,2.22045e-16
symmetry,0.5,2.42861e-16
symmetry,0.5,2.08167e-16
symmetry,0.5,2.56739e-16
symmetry,0.5,2.22045e-16
symmetry,0.5,2.22045e-16
symmetry,0.5,2.35922e-16
symmetry,0.5,2.22045e-16
symmetry,0.5,2.22045e-16
symmetry,0.499998,4.13119e-07
symmetry,1.08895,-0.125523
symmetry,-0.99994,0.319681
symmetry,-1.39562,0.404011
symmetry,-1.21469,0.36545
symmetry,1.28636,-0.167597
symmetry,0.5,-6.4948e-15
symmetry,0.5,-3.60129e-15
symmetry,0.5,-5.1209e-15
symmetry,0.5,-1.70003e-15
symmetry,0.5,-5.51642e-15
symmetry,0.5,-3.42781e-15
symmetry,0.5,-4.85029e-15
symmetry,0.5,-4.72539e-15
symmetry,0.5,-5.0307e-15
symmetry,0.5,-4.18415e-15
symmetry,0.5,-4.81559e-15
symmetry,0.5,-2.80331e-15
symmetry,0.5,-4.64212e-15
symmetry,0.5,-3.25434e-15
symmetry,0.5,-4.38538e-15
symmetry,0.5,-3.40006e-15
symmetry,0.5,-4.17721e-15
symmetry,0.5,-3.23352e-15
symmetry,0.5,-4.0315e-15
