"Type","X","Y"
"focal",2.24,4.884626862259335e-228
"focal",2.239999946941008,-2.469477611765844e-12
"focal",2.2399997877640354,-1.9755820785706535e-11
"focal",2.2399995224691,-6.667589267164709e-11
"focal",2.239999151056233,-1.5804655175734317e-10
"focal",2.2399986735254735,-3.0868464923929084e-10
"focal",2.2399980898768757,-5.334070273151081e-10
"focal",2.239997400110503,-8.470305171235509e-10
"focal",2.2399966042264334,-1.2643719335403425e-9
"focal",2.2399957022247525,-1.8002480777802587e-9
"focal",2.2399946941055617,-2.469475730241394e-9
"focal",2.2399935798689716,-3.2868716524567243e-9
"focal",2.2399923595151052,-4.267252580805736e-9
"focal",2.2399910330440984,-5.425435224779701e-9
"focal",2.239989600456098,-6.7762362678490395e-9
"focal",2.23998806175126,-8.334472364861234e-9
"focal",2.2399864169297574,-1.0114960133800893e-8
"focal",2.23998466599177,-1.213251615969288e-8
"focal",2.2399828089374907,-1.4401956990699183e-8
"focal",2.2399808457671284,-1.6938099132481066e-8
"focal",2.239978776480898,-1.975575904950011e-8
"focal",2.239976601079026,-2.2869753165885576e-8
"focal",2.2399743195617567,-2.6294897855459742e-8
"focal",2.2399719319293396,-3.004600944260527e-8
"focal",2.2399694381820416,-3.413790419706103e-8
"focal",2.2399668383201337,-3.858539834693253e-8
"focal",2.2399641323439075,-4.340330804659953e-8
"focal",2.2399613202536592,-4.8606449407941066e-8
"focal",2.239958402049702,-5.420963847257987e-8
"focal",2.239955377732357,-6.022769122055599e-8
"focal",2.2399522473019604,-6.667542356859207e-8
"focal",2.239949010758855,-7.356765136402182e-8
"focal",2.2399456681034007,-8.091919038479001e-8
"focal",2.239942219335967,-8.874485633858509e-8
"focal",2.239938664456936,-9.705946484635936e-8
"focal",2.239935003466698,-1.0587783147268659e-7
"focal",2.2399312363656585,-1.1521477168499605e-7
"focal",2.2399273631542362,-1.2508510087265445e-7
"focal",2.2399233838328567,-1.355036343478333e-7
"focal",2.239919298401961,-1.4648518732729432e-7
"focal",2.239915106862,-1.5804457494626722e-7
"focal",2.2399108092134368,-1.7019661224283722e-7
"focal",2.239906405456749,-1.8295611416141444e-7
"focal",2.239901895592421,-1.9633789555967285e-7
"focal",2.2398972796209504,-2.103567711842641e-7
"focal",2.2398925575428503,-2.2502755569163424e-7
"focal",2.239887729358641,-2.403650636254723e-7
"focal",2.2398827950688567,-2.563841094375269e-7
"focal",2.239877754674042,-2.7309950745638134e-7
"focal",2.239872608174754,-2.905260719152092e-7
"focal",2.2398673555715636,-3.086786169205491e-7
"focal",2.2398619968650495,-3.275719564783258e-7
"focal",2.239856532055804,-3.4722090446782927e-7
"focal",2.239850961144433,-3.676402746503882e-7
"focal",2.23984528413155,-3.888448806728395e-7
"focal",2.239839501017783,-4.1084953604844654e-7
"focal",2.239833611803773,-4.3366905416730717e-7
"focal",2.2398276164901696,-4.573182482928845e-7
"focal",2.239821515077636,-4.81811931560272e-7
"focal",2.2398153075668463,-5.071649169605813e-7
"focal",2.2398089939584875,-5.333920173565543e-7
"focal",2.2398025742532557,-5.605080454825634e-7
"focal",2.2397960484518604,-5.885278139168559e-7
"focal",2.2397894165550256,-6.174661350936972e-7
"focal",2.239782678563482,-6.473378213189829e-7
"focal",2.2397758344779755,-6.781576847390142e-7
"focal",2.239768884299263,-7.099405373457018e-7
"focal",2.23976182802811,-7.427011909991177e-7
"focal",2.239754665665301,-7.764544573719834e-7
"focal",2.239747397211625,-8.112151480207941e-7
"focal",2.2397400226678847,-8.469980743129601e-7
"focal",2.239732542034898,-8.838180474562973e-7
"focal",2.239724955313489,-9.216898785163741e-7
"focal",2.239717262504496,-9.60628378381817e-7
"focal",2.239709463608773,-1.0006483577434944e-6
"focal",2.23970155862718,-1.0417646271708436e-6
"focal",2.2396935475605892,-1.0839919970320744e-6
"focal",2.2396854304098883,-1.1273452775184545e-6
"focal",2.2396772071759736,-1.1718392786581877e-6
"focal",2.2396688778597538,-1.2174888102886583e-6
"focal",2.2396604424621507,-1.2643086820633698e-6
"focal",2.2396519009840965,-1.312313703451945e-6
"focal",2.2396432534265327,-1.3615186837505344e-6
"focal",2.2396344997904194,-1.4119384320471218e-6
"focal",2.2396256400767216,-1.46358775724581e-6
"focal",2.2396166742864185,-1.516481468063352e-6
"focal",2.2396076024205027,-1.5706343730048644e-6
"focal",2.2395984244799765,-1.6260612803777053e-6
"focal",2.239589140465853,-1.6827769983122909e-6
"focal",2.23957975037916,-1.7407963347031152e-6
"focal",2.239570254220935,-1.800134097264261e-6
"focal",2.2395606519922264,-1.8608050934947051e-6
"focal",2.2395509436940984,-1.9228241306609717e-6
"focal",2.239541129327621,-1.9862060158491734e-6
"focal",2.2395312088938812,-2.050965555919909e-6
"focal",2.2395211823939736,-2.1171175575082635e-6
"focal",2.2395110498290087,-2.1846768270272765e-6
"focal",2.2395008112001045,-2.2536581706818215e-6
"focal",2.2394904665083954,-2.32407639443738e-6
"focal",2.239480015755022,-2.395946304047797e-6
"focal",2.2394694589411404,-2.4692827050240562e-6
"focal",2.239458796067918,-2.5441004026550973e-6
"focal",2.2394480271365342,-2.6204142019835286e-6
"focal",2.2394371521481777,-2.698238907829914e-6
"focal",2.2394261711040504,-2.777589324778895e-6
"focal",2.2394150840053677,-2.8584802571514356e-6
"focal",2.2394038908533536,-2.940926509053393e-6
"focal",2.2393925916492465,-3.0249428843096005e-6
"focal",2.239381186394294,-3.1105441865436623e-6
"focal",2.239369675089758,-3.1977452190842803e-6
"focal",2.2393580577369105,-3.2865607850415812e-6
"focal",2.239346334337035,-3.3770056872550747e-6
"focal",2.2393345048914286,-3.469094728290184e-6
"focal",2.2393225694013967,-3.56284271047988e-6
"focal",2.2393105278682612,-3.6582644359003935e-6
"focal",2.2392983802933513,-3.7553747063330534e-6
"focal",2.239286126678011,-3.854188323309388e-6
"focal",2.239273767023593,-3.954720088100716e-6
"focal",2.2392613013314655,-4.0569848016765164e-6
"focal",2.2392487296030046,-4.160997264784222e-6
"focal",2.239236051839601,-4.266772277838199e-6
"focal",2.239223268042657,-4.374324640999544e-6
"focal",2.239210378213582,-4.483669154172615e-6
"focal",2.2391973823538036,-4.594820616946049e-6
"focal",2.2391842804647584,-4.707793828623991e-6
"focal",2.239171072547893,-4.822603588250374e-6
"focal",2.2391577586046685,-4.939264694539536e-6
"focal",2.2391443386365557,-5.057791945949075e-6
"focal",2.2391308126450387,-5.1782001406174005e-6
"focal",2.239117180631612,-5.300504076401896e-6
"focal",2.2391034425977825,-5.424718550858104e-6
"focal",2.2390895985450694,-5.550858361225847e-6
"focal",2.239075648475002,-5.67893830446739e-6
"focal",2.2390615923891213,-5.808973177211935e-6
"focal",2.2390474302889842,-5.940977775783368e-6
"focal",2.2390331621761534,-6.074966896210676e-6
"focal",2.239018788052205,-6.210955334207124e-6
"focal",2.2390043079187305,-6.348957885149442e-6
"focal",2.2389897217773282,-6.488989344129864e-6
"focal",2.2389750296296116,-6.631064505879802e-6
"focal",2.238960231477205,-6.775198164839236e-6
"focal",2.238945327321743,-6.921405115115076e-6
"focal",2.238930317164872,-7.069700150484637e-6
"focal",2.2389152010082545,-7.220098064378289e-6
"focal",2.2388999788535595,-7.372613649921089e-6
"focal",2.2388846507024667,-7.527261699911969e-6
"focal",2.2388692165566733,-7.684057006789036e-6
"focal",2.238853676417886,-7.843014362629575e-6
"focal",2.2388380302878197,-8.004148559233315e-6
"focal",2.2388222781682066,-8.167474387990592e-6
"focal",2.2388064200607847,-8.333006640000307e-6
"focal",2.23879045596731,-8.500760105972782e-6
"focal",2.2387743858895437,-8.670749576292214e-6
"focal",2.2387582098292658,-8.842989840961157e-6
"focal",2.2387419277882596,-9.017495689669919e-6
"focal",2.2387255397683283,-9.194281911713287e-6
"focal",2.2387090457712824,-9.373363296032167e-6
"focal",2.2386924457989448,-9.554754631227458e-6
"focal",2.23867573985315,-9.73847070551842e-6
"focal",2.2386589279357425,-9.924526306770431e-6
"focal",2.2386420100485847,-0.000010112936222425595
"focal",2.2386249861935434,-0.000010303715239634581
"focal",2.2386078563725027,-0.00001049687814511091
