t,curve_x,curve_y,focal_x,focal_y
-3.14159,-1,-2.20436e-16,2.24,-2.20436e-16
-3.14156,-1,-5.65487e-05,2.24,-6.75123e-12
-3.14153,-1,-0.000113097,2.24,1.21709e-10
-3.1415,-1,-0.000169646,2.24,-2.16266e-11
-3.14147,-1,-0.000226195,2.24,2.30682e-10
-3.14144,-1,-0.000282743,2.24,2.83282e-10
-3.1414,-1,-0.000339292,2.24,3.34165e-10
-3.14137,-1,-0.000395841,2.24,3.82989e-10
-3.14134,-1,-0.000452389,2.24,-5.75094e-10
-3.14131,-1,-0.000508938,2.24,4.73089e-10
-3.14128,-1,-0.000565487,2.24,-7.41953e-10
-3.14125,-1,-0.000622035,2.24,5.50837e-10
-3.14122,-1,-0.000678584,2.24,5.8422e-10
-3.14118,-1,-0.000735133,2.24,6.13486e-10
-3.14115,-1,-0.000791681,2.24,-2.50644e-10
-3.14112,-1,-0.00084823,2.24,-2.93425e-10
-3.14109,-1,-0.000904779,2.24,6.53162e-10
-3.14106,-1,-0.000961327,2.23999,-1.47205e-09
-3.14103,-1,-0.00101788,2.24,-4.74005e-10
-3.141,-1,-0.00107442,2.24,-5.39432e-10
-3.14096,-1,-0.00113097,2.24,6.3426e-10
-3.14093,-1,-0.00118752,2.24,5.98249e-10
-3.1409,-1,-0.00124407,2.24,5.75015e-10
-3.14087,-1,-0.00130062,2.24,-9.09737e-10
-3.14084,-1,-0.00135717,2.24,-1.03118e-09
-3.14081,-1,-0.00141372,2.24,-1.16085e-09
-3.14078,-1,-0.00147027,2.24,3.43207e-10
-3.14074,-1,-0.00152681,2.23999,-3.13139e-09
-3.14071,-1,-0.00158336,2.24,1.65151e-10
-3.14068,-1,-0.00163991,2.24,-1.74879e-09
-3.14065,-1,-0.00169646,2.24,-5.13319e-11
-3.14062,-1,-0.00175301,2.24,-1.74847e-10
-3.14059,-0.999999,-0.00180956,2.23999,-2.32799e-09
-3.14056,-0.999999,-0.00186611,2.23999,-4.61769e-09
-3.14052,-0.999999,-0.00192265,2.23999,-2.77513e-09
-3.14049,-0.999999,-0.0019792,2.24,-8.18669e-10
-3.14046,-0.999999,-0.00203575,2.24,1.25135e-09
-3.14043,-0.999999,-0.0020923,2.24,1.10167e-09
-3.1404,-0.999999,-0.00214885,2.24,-1.43643e-09
-3.14037,-0.999999,-0.0022054,2.24,-1.67463e-09
-3.14034,-0.999999,-0.00226195,2.24,5.7506e-10
-3.1403,-0.999999,-0.00231849,2.24,3.72548e-10
-3.14027,-0.999999,-0.00237504,2.23999,-2.49089e-09
-3.14024,-0.999999,-0.00243159,2.24,-9.50513e-11
-3.14021,-0.999999,-0.00248814,2.23999,-5.86558e-09
-3.14018,-0.999999,-0.00254469,2.23999,-6.27201e-09
-3.14015,-0.999999,-0.00260124,2.24,-9.17948e-10
-3.14012,-0.999999,-0.00265779,2.23999,-4.17075e-09
-3.14008,-0.999999,-0.00271434,2.23999,-4.56174e-09
-3.14005,-0.999999,-0.00277088,2.23999,-4.96917e-09
-3.14002,-0.999999,-0.00282743,2.23999,-2.26435e-09
-3.13999,-0.999999,-0.00288398,2.23999,-5.85486e-09
-3.13996,-0.999999,-0.00294053,2.23999,-3.0591e-09
-3.13993,-0.999999,-0.00299708,2.23999,-1.01479e-08
-3.1399,-0.999999,-0.00305363,2.23999,-7.32544e-09
-3.13986,-0.999999,-0.00311018,2.23998,-1.13218e-08
-3.13983,-0.999998,-0.00316672,2.23999,-4.90547e-09
-3.1398,-0.999998,-0.00322327,2.23999,-5.41425e-09
-3.13977,-0.999998,-0.00327982,2.23999,-5.96255e-09
-3.13974,-0.999998,-0.00333637,2.23999,-2.81666e-09
-3.13971,-0.999998,-0.00339292,2.23999,-1.08761e-08
-3.13968,-0.999998,-0.00344947,2.23999,-1.15479e-08
-3.13964,-0.999998,-0.00350602,2.23999,-8.35826e-09
-3.13961,-0.999998,-0.00356256,2.23999,-9.00947e-09
-3.13958,-0.999998,-0.00361911,2.23998,-1.37104e-08
-3.13955,-0.999998,-0.00367566,2.23998,-1.44879e-08
-3.13952,-0.999998,-0.00373221,2.23999,-1.11343e-08
-3.13949,-0.999998,-0.00378876,2.23998,-1.1894e-08
-3.13946,-0.999998,-0.00384531,2.23999,-8.41768e-09
-3.13942,-0.999998,-0.00390186,2.23998,-1.35028e-08
-3.13939,-0.999998,-0.0039584,2.23999,-9.94798e-09
