Type,X,Y
symmetry,-2.8439,-0.728115
symmetry,-1.93451,-0.163052
symmetry,-2.04086,-0.229135
symmetry,-2.00991,-0.2099
symmetry,-2.71806,-0.649921
symmetry,-1.25114,0.261569
symmetry,-3.80628,-1.3261
symmetry,-2.84367,-0.728589
symmetry,-1.93441,-0.163387
symmetry,-2.0407,-0.229457
symmetry,-2.00976,-0.210222
symmetry,-2.71782,-0.65036
symmetry,-1.25109,0.261373
symmetry,-3.80583,-1.32667
symmetry,-2.84345,-0.729064
symmetry,-1.93432,-0.163722
symmetry,-2.04054,-0.229778
symmetry,-2.00966,-0.210575
symmetry,-2.71762,-0.65082
symmetry,-1.2511,0.261134
symmetry,-3.80537,-1.32724
symmetry,-2.84322,-0.729539
symmetry,-1.93422,-0.164056
symmetry,-2.04038,-0.230099
symmetry,-2.00957,-0.210928
symmetry,-2.71742,-0.65128
symmetry,-1.25112,0.260895
symmetry,-3.80492,-1.32781
symmetry,-2.84299,-0.730013
symmetry,-1.93412,-0.164391
symmetry,-2.04022,-0.23042
symmetry,-2.00947,-0.211281
symmetry,-2.71722,-0.65174
symmetry,-1.25114,0.260657
symmetry,-3.80447,-1.32838
symmetry,-2.84276,-0.730487
symmetry,-1.93403,-0.164725
symmetry,-2.04006,-0.230741
symmetry,-2.00937,-0.211634
symmetry,-2.71698,-0.652178
symmetry,-1.25115,0.260418
symmetry,-3.80402,-1.32895
symmetry,-2.84253,-0.730962
symmetry,-1.93393,-0.165059
symmetry,-2.0399,-0.231062
symmetry,-2.00922,-0.211956
symmetry,-2.71678,-0.652638
symmetry,-1.2511,0.260222
symmetry,-3.80356,-1.32952
symmetry,-2.8423,-0.731436
symmetry,-1.93383,-0.165394
symmetry,-2.03974,-0.231383
symmetry,-2.00913,-0.212309
symmetry,-2.71657,-0.653098
symmetry,-1.25112,0.259983
symmetry,-3.80311,-1.33009
symmetry,-2.84208,-0.73191
symmetry,-1.93373,-0.165728
symmetry,-2.03958,-0.231704
symmetry,-2.00903,-0.212662
symmetry,-2.71637,-0.653557
symmetry,-1.25114,0.259745
symmetry,-3.80266,-1.33066
symmetry,-2.84185,-0.732385
symmetry,-1.93364,-0.166063
symmetry,-2.03942,-0.232025
symmetry,-2.00893,-0.213015
symmetry,-2.71617,-0.654017
symmetry,-1.25115,0.259506
symmetry,-3.80221,-1.33123
symmetry,-2.84162,-0.732859
symmetry,-1.93354,-0.166397
symmetry,-2.03926,-0.232346
symmetry,-2.00879,-0.213337
symmetry,-2.71593,-0.654455
symmetry,-1.2511,0.259309
symmetry,-3.80176,-1.3318
symmetry,-2.84139,-0.733333
symmetry,-1.93344,-0.166731
symmetry,-2.0391,-0.232666
symmetry,-2.00869,-0.213689
symmetry,-2.71573,-0.654915
symmetry,-1.25112,0.259071
symmetry,-3.80131,-1.33237
symmetry,-2.84116,-0.733807
