x,y
0.040573,-0.197103
0.005376,-0.199213
0.029071,-0.197926
0.017191,-0.198607
0.052008,-0.196006
0.063824,-0.194454
0.076164,-0.192316
0.089030,-0.189650
0.102364,-0.186640
0.115787,-0.183404
0.128783,-0.179937
0.141198,-0.176198
0.153097,-0.172262
0.164480,-0.168236
0.175383,-0.164140
0.186041,-0.159954
0.196781,-0.155644
0.207670,-0.151134
0.218513,-0.146362
0.229300,-0.141262
0.240334,-0.135644
0.251789,-0.129324
0.263387,-0.122398
0.274755,-0.115077
0.285863,-0.107324
0.296637,-0.099093
0.306613,-0.090737
0.315474,-0.082574
0.323502,-0.074369
0.331149,-0.065737
0.338510,-0.056510
0.345287,-0.046524
0.350963,-0.035686
0.355111,-0.024275
0.356856,-0.013016
0.356374,-0.002172
0.353962,0.008362
0.349537,0.018351
0.342981,0.027300
0.334949,0.035146
0.325883,0.041617
0.316241,0.046566
0.306095,0.050199
0.295423,0.052996
0.284475,0.055284
0.273511,0.057125
0.262529,0.058520
0.251499,0.059539
0.240476,0.060312
0.229402,0.060889
0.218174,0.061189
0.206795,0.061100
0.195316,0.060706
0.183919,0.060269
0.172932,0.059985
0.163810,0.060177
0.150843,0.062081
0.147023,0.064661
0.145713,0.068587
0.147195,0.073210
0.156746,0.082280
0.163461,0.087097
0.172167,0.092532
0.181083,0.097489
0.190226,0.102268
0.199911,0.107067
0.210290,0.111975
0.221119,0.116993
0.232165,0.122178
0.243533,0.127747
0.255289,0.133852
0.267120,0.140326
0.278647,0.146859
0.289745,0.153296
0.300351,0.159688
0.310391,0.166180
0.319871,0.172843
0.328839,0.179685
0.337438,0.186855
0.345862,0.194546
0.353991,0.202707
0.361244,0.211002
0.366931,0.219159
0.370690,0.227163
0.371272,0.234556
0.369672,0.240820
0.364743,0.245141
0.357318,0.247869
0.346699,0.248255
0.335864,0.247753
0.324773,0.246250
0.313361,0.243772
0.301615,0.240413
0.289497,0.236329
0.276948,0.231642
0.264048,0.226528
0.250930,0.221341
0.237850,0.216491
0.225335,0.212311
0.213624,0.208929
0.202237,0.206209
0.190322,0.203902
0.177157,0.201882
0.162543,0.200165
0.146999,0.198770
0.131308,0.197622
0.115884,0.196603
0.100651,0.195726
0.085180,0.195142
0.069039,0.194932
0.052453,0.195070
0.036282,0.195500
0.021344,0.196163
0.006564,0.196955
-0.008087,0.197926
-0.022684,0.198990
-0.036694,0.199037
-0.050682,0.198112
-0.065150,0.196562
-0.080148,0.194617
-0.095505,0.192107
-0.110950,0.188889
-0.126129,0.185185
-0.140993,0.181282
-0.155828,0.177287
-0.170824,0.173166
-0.186026,0.168703
-0.201345,0.163644
-0.216590,0.157950
-0.231852,0.151567
-0.247326,0.144325
-0.262490,0.136395
-0.276353,0.128257
-0.288698,0.119987
-0.300210,0.111180
-0.311393,0.101496
-0.322025,0.090865
-0.331597,0.079497
-0.339749,0.067782
-0.346408,0.055780
-0.351352,0.042783
-0.355246,0.029092
-0.358075,0.015073
-0.358952,0.000829
-0.357177,-0.013467
-0.353028,-0.027705
-0.347606,-0.041871
-0.339759,-0.055886
-0.330239,-0.070054
-0.319097,-0.084102
-0.306745,-0.097285
-0.293684,-0.109180
-0.280032,-0.119963
-0.265576,-0.129921
-0.250183,-0.139162
-0.233933,-0.147721
-0.217192,-0.155560
-0.200405,-0.162571
-0.183647,-0.168720
-0.166652,-0.174081
-0.149132,-0.178888
-0.130983,-0.183394
-0.112432,-0.187596
-0.093767,-0.191320
-0.074845,-0.194484
-0.055498,-0.197044
-0.036549,-0.198851
-0.019712,-0.199754
-0.006498,-0.199682
0.046264,-0.196599
0.034867,-0.197539
0.011280,-0.198924
0.023123,-0.198271
0.057852,-0.195298
0.069928,-0.193459
0.082531,-0.191038
0.095652,-0.188178
0.109101,-0.185048
0.122359,-0.181703
0.135059,-0.178100
0.147211,-0.174246
0.158854,-0.170257
0.169982,-0.166198
0.180720,-0.162059
0.191387,-0.157819
0.202217,-0.153419
0.213107,-0.148783
0.223898,-0.143861
0.234765,-0.138533
0.246017,-0.132574
0.257599,-0.125920
0.269109,-0.118782
0.280337,-0.111265
0.291314,-0.103255
0.301757,-0.094900
0.311178,-0.086634
0.319559,-0.078506
0.327357,-0.070120
0.334877,-0.061206
0.342001,-0.051624
0.348296,-0.041204
0.353240,-0.030020
0.356608,-0.018517
0.356841,-0.007558
0.355389,0.003131
0.352281,0.013551
0.346452,0.022947
0.339130,0.031378
0.330509,0.038568
0.321121,0.044279
0.311237,0.048518
0.300815,0.051674
0.289962,0.054195
0.278990,0.056261
0.268027,0.057876
0.257016,0.059068
0.245986,0.059950
0.234954,0.060627
0.223809,0.061083
0.212502,0.061195
0.201061,0.060926
0.189589,0.060478
0.178348,0.060098
0.167741,0.059964
0.160050,0.060430
0.148658,0.063189
0.146021,0.066482
0.146116,0.070868
0.148879,0.075519
0.160030,0.084652
0.167770,0.089893
0.176608,0.095050
0.185609,0.099885
0.194981,0.104657
0.205022,0.109506
0.215670,0.114470
0.226614,0.119554
0.237797,0.124899
0.249374,0.130735
0.261223,0.137063
0.272935,0.143600
0.284252,0.150090
0.295116,0.156489
0.305443,0.162913
0.315199,0.169491
0.324414,0.176237
0.333170,0.183215
0.341667,0.190630
0.349991,0.198585
0.357773,0.206860
0.364317,0.215104
0.369054,0.223174
0.371128,0.230930
0.370855,0.237897
0.367622,0.243238
0.361210,0.246624
0.352033,0.248152
0.341310,0.248129
0.330355,0.247126
0.319109,0.245130
0.307529,0.242193
0.295608,0.238452
0.283275,0.234054
0.270533,0.229120
0.257507,0.223917
0.244356,0.218850
0.231491,0.214303
0.219394,0.210523
0.207941,0.207503
0.196398,0.205016
0.183925,0.202857
0.170014,0.200983
0.154835,0.199430
0.139133,0.198173
0.123558,0.197100
0.108264,0.196138
0.092980,0.195389
0.077200,0.194990
0.060753,0.194961
0.044262,0.195253
0.028799,0.195823
0.013932,0.196537
-0.000772,0.197422
-0.015389,0.198453
-0.029731,0.199145
-0.043651,0.198678
-0.057843,0.197391
-0.072593,0.195643
-0.087795,0.193449
-0.103240,0.190580
-0.118588,0.187076
-0.133585,0.183248
-0.148397,0.179294
-0.163301,0.175251
-0.178400,0.170996
-0.193685,0.166255
-0.208982,0.160875
-0.224199,0.154856
-0.239572,0.148056
-0.255013,0.140415
-0.269627,0.132332
-0.282683,0.124159
-0.294510,0.115678
-0.305842,0.106458
-0.316811,0.096294
-0.326972,0.085249
-0.335863,0.073665
-0.343257,0.061837
-0.349231,0.049544
-0.353386,0.035976
-0.356845,0.022121
-0.358817,0.007967
-0.358406,-0.006321
-0.355341,-0.020597
-0.350397,-0.034794
-0.343885,-0.048868
-0.335213,-0.062951
-0.324853,-0.077137
-0.313036,-0.090844
-0.300284,-0.103392
-0.286942,-0.114689
-0.272918,-0.125035
-0.257997,-0.134628
-0.242149,-0.143526
-0.225591,-0.151738
-0.208788,-0.159173
-0.192035,-0.165751
-0.175199,-0.171489
-0.157971,-0.176534
-0.140130,-0.181171
-0.121734,-0.185544
-0.103111,-0.189527
-0.084361,-0.192973
-0.065205,-0.195846
-0.045873,-0.198054
-0.027765,-0.199418
-0.012476,-0.199879
-0.000545,-0.199465
0.156589,0.060780
0.153505,0.061302
0.151085,0.077769
0.153733,0.080000
